Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
AMT_REQ_CREDIT_BUREAU_WEEK,1,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.342,5.761
AMT_REQ_CREDIT_BUREAU_WEEK,2,Missing,33211,0.135,29786,3425,0.103,-0.269,0.011,0.001,-0.342,5.761
AMT_REQ_CREDIT_BUREAU_MON,0,"(-inf, 0.50)",177793,0.723,163905,13888,0.078,0.037,0.001,0.0,-0.293,5.202
AMT_REQ_CREDIT_BUREAU_MON,1,"[0.50, inf)",35004,0.142,32441,2563,0.073,0.107,0.002,0.0,-0.293,4.134
AMT_REQ_CREDIT_BUREAU_MON,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.293,5.761
AMT_REQ_CREDIT_BUREAU_MON,3,Missing,33211,0.135,29786,3425,0.103,-0.269,0.011,0.001,-0.293,5.761
AMT_REQ_CREDIT_BUREAU_QRT,0,"(-inf, 0.50)",172187,0.7,158648,13539,0.079,0.03,0.001,0.0,-0.731,4.637
AMT_REQ_CREDIT_BUREAU_QRT,1,"[0.50, 1.50)",27114,0.11,25326,1788,0.066,0.219,0.005,0.001,-0.731,-2.584
AMT_REQ_CREDIT_BUREAU_QRT,2,"[1.50, inf)",13496,0.055,12372,1124,0.083,-0.033,0.0,0.0,-0.731,7.02
AMT_REQ_CREDIT_BUREAU_QRT,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.731,5.761
AMT_REQ_CREDIT_BUREAU_QRT,4,Missing,33211,0.135,29786,3425,0.103,-0.269,0.011,0.001,-0.731,5.761
AMT_REQ_CREDIT_BUREAU_YEAR,0,"(-inf, 0.50)",57459,0.234,53332,4127,0.072,0.127,0.004,0.0,-0.378,3.255
AMT_REQ_CREDIT_BUREAU_YEAR,1,"[0.50, 1.50)",50661,0.206,46921,3740,0.074,0.098,0.002,0.0,-0.378,3.838
AMT_REQ_CREDIT_BUREAU_YEAR,2,"[1.50, 3.50)",67066,0.273,61690,5376,0.08,0.009,0.0,0.0,-0.378,5.592
AMT_REQ_CREDIT_BUREAU_YEAR,3,"[3.50, 4.50)",16600,0.067,15243,1357,0.082,-0.013,0.0,0.0,-0.378,6.012
AMT_REQ_CREDIT_BUREAU_YEAR,4,"[4.50, inf)",21011,0.085,19160,1851,0.088,-0.095,0.001,0.0,-0.378,7.62
AMT_REQ_CREDIT_BUREAU_YEAR,5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.378,5.761
AMT_REQ_CREDIT_BUREAU_YEAR,6,Missing,33211,0.135,29786,3425,0.103,-0.269,0.011,0.001,-0.378,5.761
