Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
COMMONAREA_MEDI,1,"[0.00, 0.01)",12890,0.052,11945,945,0.073,0.105,0.001,0.0,-0.527,2.872
COMMONAREA_MEDI,2,"[0.01, 0.03)",20627,0.084,19207,1420,0.069,0.173,0.002,0.0,-0.527,1.013
COMMONAREA_MEDI,3,"[0.03, 0.07)",14245,0.058,13294,951,0.067,0.206,0.002,0.0,-0.527,0.11
COMMONAREA_MEDI,4,"[0.07, inf)",12386,0.05,11664,722,0.058,0.351,0.005,0.001,-0.527,-3.86
COMMONAREA_MEDI,5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.527,5.761
COMMONAREA_MEDI,6,Missing,171929,0.699,157150,14779,0.086,-0.068,0.003,0.0,-0.527,5.761
ELEVATORS_MEDI,0,"(-inf, 0.01)",69494,0.282,64165,5329,0.077,0.057,0.001,0.0,-0.237,5.061
ELEVATORS_MEDI,1,"[0.01, 0.09)",13177,0.054,12346,831,0.063,0.267,0.003,0.0,-0.237,2.465
ELEVATORS_MEDI,2,"[0.09, 0.21)",16498,0.067,15547,951,0.058,0.363,0.008,0.001,-0.237,1.284
ELEVATORS_MEDI,3,"[0.21, inf)",15631,0.064,14806,825,0.053,0.456,0.011,0.001,-0.237,0.131
ELEVATORS_MEDI,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.237,5.761
ELEVATORS_MEDI,5,Missing,131208,0.533,119268,11940,0.091,-0.13,0.01,0.001,-0.237,5.761
ENTRANCES_MEDI,0,"(-inf, 0.08)",32984,0.134,30352,2632,0.08,0.014,0.0,0.0,-0.885,5.138
ENTRANCES_MEDI,1,"[0.08, 0.13)",18494,0.075,17179,1315,0.071,0.138,0.001,0.0,-0.885,-0.608
ENTRANCES_MEDI,2,"[0.13, 0.16)",29050,0.118,27094,1956,0.067,0.197,0.004,0.001,-0.885,-3.305
ENTRANCES_MEDI,3,"[0.16, 0.23)",24112,0.098,22585,1527,0.063,0.262,0.006,0.001,-0.885,-6.326
ENTRANCES_MEDI,4,"[0.23, inf)",17420,0.071,16342,1078,0.062,0.287,0.005,0.001,-0.885,-7.462
ENTRANCES_MEDI,5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.885,5.761
ENTRANCES_MEDI,6,Missing,123948,0.504,112580,11368,0.092,-0.139,0.01,0.001,-0.885,5.761
FLOORSMAX_MEDI,0,"(-inf, 0.16)",25966,0.106,23658,2308,0.089,-0.104,0.001,0.0,0.104,5.197
FLOORSMAX_MEDI,1,"[0.16, 0.22)",52283,0.213,48562,3721,0.071,0.137,0.004,0.0,0.104,6.503
FLOORSMAX_MEDI,2,"[0.22, 0.36)",29264,0.119,27484,1780,0.061,0.305,0.01,0.001,0.104,7.412
FLOORSMAX_MEDI,3,"[0.36, inf)",15963,0.065,15148,815,0.051,0.491,0.013,0.002,0.104,8.414
FLOORSMAX_MEDI,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.104,5.761
FLOORSMAX_MEDI,5,Missing,122532,0.498,111280,11252,0.092,-0.14,0.01,0.001,0.104,5.761
FLOORSMIN_MEDI,0,"(-inf, 0.20)",26401,0.107,24340,2061,0.078,0.037,0.0,0.0,-0.178,5.416
FLOORSMIN_MEDI,1,"[0.20, 0.22)",26966,0.11,25055,1911,0.071,0.142,0.002,0.0,-0.178,4.449
FLOORSMIN_MEDI,2,"[0.22, inf)",25687,0.104,24234,1453,0.057,0.383,0.013,0.002,-0.178,2.223
FLOORSMIN_MEDI,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.178,5.761
FLOORSMIN_MEDI,4,Missing,166954,0.679,152503,14451,0.087,-0.075,0.004,0.0,-0.178,5.761
LANDAREA_MEDI,0,"(-inf, 0.00)",13267,0.054,12403,864,0.065,0.233,0.003,0.0,-0.568,-1.122
LANDAREA_MEDI,1,"[0.00, 0.02)",17216,0.07,15819,1397,0.081,-0.005,0.0,0.0,-0.568,5.901
LANDAREA_MEDI,2,"[0.02, 0.06)",25419,0.103,23552,1867,0.073,0.103,0.001,0.0,-0.568,2.704
LANDAREA_MEDI,3,"[0.06, 0.08)",15246,0.062,14210,1036,0.068,0.187,0.002,0.0,-0.568,0.226
LANDAREA_MEDI,4,"[0.08, 0.12)",15146,0.062,14154,992,0.065,0.226,0.003,0.0,-0.568,-0.942
LANDAREA_MEDI,5,"[0.12, inf)",13585,0.055,12741,844,0.062,0.283,0.004,0.0,-0.568,-2.611
LANDAREA_MEDI,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.568,5.761
LANDAREA_MEDI,7,Missing,146129,0.594,133253,12876,0.088,-0.095,0.006,0.001,-0.568,5.761
LIVINGAPARTMENTS_MEDI,0,"(-inf, 0.04)",15308,0.062,14015,1293,0.084,-0.048,0.0,0.0,-0.435,6.857
LIVINGAPARTMENTS_MEDI,1,"[0.04, 0.09)",30392,0.124,28307,2085,0.069,0.177,0.004,0.0,-0.435,1.76
LIVINGAPARTMENTS_MEDI,2,"[0.09, 0.16)",18867,0.077,17677,1190,0.063,0.267,0.005,0.001,-0.435,-0.276
LIVINGAPARTMENTS_MEDI,3,"[0.16, inf)",13245,0.054,12479,766,0.058,0.359,0.006,0.001,-0.435,-2.365
LIVINGAPARTMENTS_MEDI,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.435,5.761
LIVINGAPARTMENTS_MEDI,5,Missing,168196,0.684,153654,14542,0.086,-0.074,0.004,0.0,-0.435,5.761
LIVINGAREA_MEDI,0,"(-inf, 0.02)",15006,0.061,13624,1382,0.092,-0.143,0.001,0.0,0.424,2.595
LIVINGAREA_MEDI,1,"[0.02, 0.04)",13443,0.055,12338,1105,0.082,-0.019,0.0,0.0,0.424,5.346
LIVINGAREA_MEDI,2,"[0.04, 0.06)",12509,0.051,11596,913,0.073,0.11,0.001,0.0,0.424,8.193
LIVINGAREA_MEDI,3,"[0.06, 0.07)",13716,0.056,12732,984,0.072,0.129,0.001,0.0,0.424,8.603
LIVINGAREA_MEDI,4,"[0.07, 0.09)",17084,0.069,15918,1166,0.068,0.182,0.002,0.0,0.424,9.788
LIVINGAREA_MEDI,5,"[0.09, 0.13)",19759,0.08,18468,1291,0.065,0.229,0.004,0.0,0.424,10.821
LIVINGAREA_MEDI,6,"[0.13, 0.19)",12301,0.05,11576,725,0.059,0.339,0.005,0.001,0.424,13.249
LIVINGAREA_MEDI,7,"[0.19, inf)",18603,0.076,17578,1025,0.055,0.41,0.011,0.001,0.424,14.827
LIVINGAREA_MEDI,8,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.424,5.761
LIVINGAREA_MEDI,9,Missing,123587,0.502,112302,11285,0.091,-0.134,0.01,0.001,0.424,5.761
NONLIVINGAPARTMENTS_MEDI,0,"(-inf, 0.00)",57225,0.233,53260,3965,0.069,0.166,0.006,0.001,0.439,9.553
NONLIVINGAPARTMENTS_MEDI,1,"[0.00, inf)",17915,0.073,16714,1201,0.067,0.201,0.003,0.0,0.439,10.362
NONLIVINGAPARTMENTS_MEDI,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.439,5.761
NONLIVINGAPARTMENTS_MEDI,3,Missing,170868,0.695,156158,14710,0.086,-0.069,0.003,0.0,0.439,5.761
NONLIVINGAREA_MEDI,0,"(-inf, 0.00)",49892,0.203,46315,3577,0.072,0.129,0.003,0.0,-0.482,2.518
NONLIVINGAREA_MEDI,1,"[0.00, 0.06)",45145,0.184,42032,3113,0.069,0.171,0.005,0.001,-0.482,1.468
NONLIVINGAREA_MEDI,2,"[0.06, inf)",15028,0.061,14120,908,0.06,0.312,0.005,0.001,-0.482,-2.074
NONLIVINGAREA_MEDI,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.482,5.761
NONLIVINGAREA_MEDI,4,Missing,135943,0.553,123665,12278,0.09,-0.122,0.009,0.001,-0.482,5.761
FONDKAPREMONT_MODE,0,['org spec account' 'reg oper spec account'],14189,0.058,13288,901,0.063,0.26,0.003,0.0,-0.166,3.521
FONDKAPREMONT_MODE,1,['reg oper account' 'not specified'],63533,0.258,59082,4451,0.07,0.154,0.006,0.001,-0.166,4.43
FONDKAPREMONT_MODE,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.166,5.761
FONDKAPREMONT_MODE,3,Missing,168286,0.684,153762,14524,0.086,-0.072,0.004,0.0,-0.166,5.761
HOUSETYPE_MODE,0,['block of flats' 'terraced house' 'specific housing'],122469,0.498,113878,8591,0.07,0.153,0.011,0.001,1.128,14.734
HOUSETYPE_MODE,1,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,1.128,5.761
HOUSETYPE_MODE,2,Missing,123539,0.502,112254,11285,0.091,-0.134,0.01,0.001,1.128,5.761
TOTALAREA_MODE,0,"(-inf, 0.03)",23271,0.095,21153,2118,0.091,-0.13,0.002,0.0,-0.128,6.629
TOTALAREA_MODE,1,"[0.03, 0.06)",32478,0.132,30166,2312,0.071,0.137,0.002,0.0,-0.128,4.848
TOTALAREA_MODE,2,"[0.06, 0.09)",21989,0.089,20436,1553,0.071,0.146,0.002,0.0,-0.128,4.792
TOTALAREA_MODE,3,"[0.09, 0.15)",21502,0.087,20110,1392,0.065,0.239,0.005,0.001,-0.128,4.169
TOTALAREA_MODE,4,"[0.15, 0.22)",14527,0.059,13705,822,0.057,0.382,0.007,0.001,-0.128,3.215
TOTALAREA_MODE,5,"[0.22, inf)",13423,0.055,12698,725,0.054,0.431,0.008,0.001,-0.128,2.887
TOTALAREA_MODE,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.128,5.761
TOTALAREA_MODE,7,Missing,118818,0.483,107864,10954,0.092,-0.144,0.011,0.001,-0.128,5.761
WALLSMATERIAL_MODE,0,['Monolithic' 'Panel'],54305,0.221,50861,3444,0.063,0.261,0.013,0.002,-0.24,2.5
WALLSMATERIAL_MODE,1,"['Block' 'Stone, brick' 'Mixed' 'Others' 'Wooden']",66524,0.27,61512,5012,0.075,0.076,0.002,0.0,-0.24,4.814
WALLSMATERIAL_MODE,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.24,5.761
WALLSMATERIAL_MODE,3,Missing,125179,0.509,113759,11420,0.091,-0.133,0.01,0.001,-0.24,5.761
EMERGENCYSTATE_MODE,0,['No' 'Yes'],129317,0.526,120232,9085,0.07,0.151,0.011,0.001,-0.334,3.132
EMERGENCYSTATE_MODE,1,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.334,5.761
EMERGENCYSTATE_MODE,2,Missing,116691,0.474,105900,10791,0.092,-0.148,0.011,0.001,-0.334,5.761
DEF_30_CNT_SOCIAL_CIRCLE,0,"(-inf, 0.50)",217142,0.883,200245,16897,0.078,0.041,0.001,0.0,-0.486,4.728
DEF_30_CNT_SOCIAL_CIRCLE,1,"[0.50, inf)",28061,0.114,25111,2950,0.105,-0.29,0.011,0.001,-0.486,13.104
DEF_30_CNT_SOCIAL_CIRCLE,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.486,5.761
DEF_30_CNT_SOCIAL_CIRCLE,3,Missing,805,0.003,776,29,0.036,0.855,0.002,0.0,-0.486,5.761
DEF_60_CNT_SOCIAL_CIRCLE,0,"(-inf, 0.50)",224620,0.913,207018,17602,0.078,0.033,0.001,0.0,-0.228,5.368
DEF_60_CNT_SOCIAL_CIRCLE,1,"[0.50, inf)",20583,0.084,18338,2245,0.109,-0.331,0.011,0.001,-0.228,9.688
DEF_60_CNT_SOCIAL_CIRCLE,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.228,5.761
DEF_60_CNT_SOCIAL_CIRCLE,3,Missing,805,0.003,776,29,0.036,0.855,0.002,0.0,-0.228,5.761
DAYS_LAST_PHONE_CHANGE,0,"(-inf, -2467.50)",14108,0.057,13372,736,0.052,0.468,0.01,0.001,-0.19,1.142
DAYS_LAST_PHONE_CHANGE,1,"[-2467.50, -2040.50)",15101,0.061,14231,870,0.058,0.363,0.007,0.001,-0.19,2.178
DAYS_LAST_PHONE_CHANGE,2,"[-2040.50, -1794.50)",14224,0.058,13350,874,0.061,0.295,0.004,0.001,-0.19,2.854
DAYS_LAST_PHONE_CHANGE,3,"[-1794.50, -1359.50)",34534,0.14,32316,2218,0.064,0.247,0.008,0.001,-0.19,3.32
DAYS_LAST_PHONE_CHANGE,4,"[-1359.50, -1122.50)",15425,0.063,14293,1132,0.073,0.104,0.001,0.0,-0.19,4.733
DAYS_LAST_PHONE_CHANGE,5,"[-1122.50, -955.50)",12363,0.05,11364,999,0.081,-0.0,0.0,0.0,-0.19,5.762
DAYS_LAST_PHONE_CHANGE,6,"[-955.50, -743.50)",18553,0.075,16974,1579,0.085,-0.057,0.0,0.0,-0.19,6.321
DAYS_LAST_PHONE_CHANGE,7,"[-743.50, -592.50)",17390,0.071,15788,1602,0.092,-0.144,0.002,0.0,-0.19,7.178
DAYS_LAST_PHONE_CHANGE,8,"[-592.50, -347.50)",32703,0.133,29684,3019,0.092,-0.146,0.003,0.0,-0.19,7.201
DAYS_LAST_PHONE_CHANGE,9,"[-347.50, inf)",71606,0.291,64759,6847,0.096,-0.185,0.011,0.001,-0.19,7.584
DAYS_LAST_PHONE_CHANGE,10,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.19,5.761
DAYS_LAST_PHONE_CHANGE,11,Missing,1,0.0,1,0,0.0,0.0,0.0,0.0,-0.19,5.761
FLAG_DOCUMENT_3,0,"(-inf, 0.50)",71371,0.29,66960,4411,0.062,0.288,0.021,0.003,-0.523,-2.1
FLAG_DOCUMENT_3,1,"[0.50, inf)",174637,0.71,159172,15465,0.089,-0.1,0.007,0.001,-0.523,8.492
FLAG_DOCUMENT_3,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.523,5.761
FLAG_DOCUMENT_3,3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.523,5.761
FLAG_DOCUMENT_6,0,"(-inf, 0.50)",224353,0.912,205688,18665,0.083,-0.032,0.001,0.0,0.305,5.255
FLAG_DOCUMENT_6,1,"[0.50, inf)",21655,0.088,20444,1211,0.056,0.395,0.012,0.001,0.305,12.026
FLAG_DOCUMENT_6,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.305,5.761
FLAG_DOCUMENT_6,3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,0.305,5.761
AMT_REQ_CREDIT_BUREAU_HOUR,0,"(-inf, inf)",212797,0.865,196346,16451,0.077,0.048,0.002,0.0,-0.342,4.908
AMT_REQ_CREDIT_BUREAU_HOUR,1,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.342,5.761
AMT_REQ_CREDIT_BUREAU_HOUR,2,Missing,33211,0.135,29786,3425,0.103,-0.269,0.011,0.001,-0.342,5.761
AMT_REQ_CREDIT_BUREAU_DAY,0,"(-inf, inf)",212797,0.865,196346,16451,0.077,0.048,0.002,0.0,-0.342,4.908
AMT_REQ_CREDIT_BUREAU_DAY,1,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.342,5.761
AMT_REQ_CREDIT_BUREAU_DAY,2,Missing,33211,0.135,29786,3425,0.103,-0.269,0.011,0.001,-0.342,5.761
AMT_REQ_CREDIT_BUREAU_WEEK,0,"(-inf, inf)",212797,0.865,196346,16451,0.077,0.048,0.002,0.0,-0.342,4.908
